"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model_simple","rmse_constraint_model_simple","rmse_flex_model_complex","rmse_constraint_model_complex","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2013-4-","dba",2,815,0.0886106039422027,0.0189422074636364,0.105461703617736,0.0203249934226231,0.02063277131711,0.0188308450360915
"monthly","2013-4-","dba",3,815,0.107822582153493,0.0185593008900875,0.115537026441106,0.0195278306044713,0.0205489147231514,0.0185028654570819
"monthly","2013-4-","dba",4,815,0.127618007351599,0.0183761626066083,0.131123265084927,0.0191197318733546,0.0209530115950359,0.0183684093170244
"monthly","2013-4-","dba",5,815,0.147093805255262,0.0188457118098812,0.148291522859672,0.0194682847353439,0.021642937647628,0.0188311401190467
"monthly","2013-4-","dba",6,815,0.165846235194027,0.0202457324359938,0.165661971962332,0.0207050672414142,0.0224388837578581,0.0201427979458194
"monthly","2013-4-","dba",7,815,0.183352795883334,0.0216104845384308,0.182303278394803,0.0218784846071827,0.0231281615074035,0.0213754780615894
"monthly","2013-4-","dba",8,815,0.199369588037662,0.0227750934595839,0.197770056005406,0.0228453836945862,0.0239030502108046,0.0224168336014705
"monthly","2013-4-","dba",9,815,0.215023108904905,0.0240837954841863,0.213074743693845,0.0239746746329427,0.0238188484136138,0.0235966679416512
"monthly","2013-4-","dba",10,815,0.230019461273924,0.0253971682990453,0.22786047500248,0.0251277290137881,0.023389159603095,0.0247851240888263
"monthly","2013-4-","dba",11,815,0.243794314958979,0.0262242134411561,0.241523755487177,0.0258212107187764,0.0231589214083494,0.0255252666113924
"monthly","2013-4-","dba",12,815,0.256895061905765,0.026968738527614,0.25458492363206,0.0264447733861351,0.0231416956282973,0.0261719978249142
"monthly","2013-4-","dba",13,815,0.269311793004153,0.0276019342364197,0.267015516981168,0.0269848653627518,0.0230333392500222,0.0267420630413444
"monthly","2013-4-","dba",14,815,0.281092123177386,0.0279727256172974,0.278850720978003,0.0272789178684013,0.0227763080720533,0.0270608726601449
"monthly","2013-4-","dba",15,815,0.292404993423092,0.0283835305974849,0.290250706169785,0.0276225592388893,0.0226849496889007,0.0274168760574863
"monthly","2013-4-","dba",16,815,0.303178638326264,0.0288401971391482,0.301137180635158,0.0280320499482584,0.022983066673002,0.0278382162433118
"monthly","2013-4-","dba",17,815,0.313669550168584,0.0293095826642065,0.311761057296831,0.0284730797187523,0.0229876511793899,0.0282908497584877
"monthly","2013-4-","dba",18,815,0.323792701924903,0.0297447439725776,0.32203395305157,0.028896225732351,0.0228750824862014,0.0287252428402334
"monthly","2013-4-","dba",19,815,0.333359413410716,0.0298801426003752,0.331764613591267,0.029032339081362,0.0227596031756653,0.028874534521628
"monthly","2013-4-","dba",20,815,0.34270251798266,0.0301078570344875,0.341283390486096,0.0292748461499273,0.0226193728020846,0.0291287145338074
"monthly","2013-4-","dba",21,815,0.351604160027093,0.0301892448091799,0.350371048559425,0.029378710888819,0.0226008790454315,0.0292428891915657
"monthly","2013-4-","dba",22,815,0.360109234909802,0.0301671966725981,0.359071084476365,0.0293867601311117,0.0227055591701638,0.0292602681041159
"monthly","2013-4-","dba",23,815,0.368322185554438,0.0301166903262993,0.367486793300177,0.0293704333693708,0.0229029876571631,0.029250233118758
"monthly","2013-4-","dba",24,815,0.376397602212132,0.0302166189050612,0.37577170209606,0.0295170106005988,0.0230473801040667,0.0294040909830875
"monthly","2013-4-","dba",25,815,0.384329290602114,0.0303441550956451,0.38391897915017,0.0296963072447709,0.0230030928176136,0.0295896144001624
"monthly","2013-4-","dba",26,815,0.39200539003848,0.0303745840742861,0.391816306122682,0.0297866759290226,0.0227840902024672,0.0296890463052525
"monthly","2013-4-","dba",27,815,0.399592052820273,0.0305225272700682,0.399629380545255,0.0299934698338242,0.0225477557494177,0.0299011063816338
"monthly","2013-4-","dba",28,815,0.406829746636252,0.0305379247829617,0.407098492063255,0.0300713948511495,0.0224017938114286,0.0299862723803394
"monthly","2013-4-","dba",29,815,0.413701028881649,0.0304102424085489,0.41420594981193,0.0300068383839206,0.0224243307076653,0.0299296325215871
"monthly","2013-4-","dba",30,815,0.420506879648004,0.0303255134076448,0.421252247772714,0.0299848908339082,0.0222136065260644,0.0299151425274817
"monthly","2013-4-","dba",31,815,0.42711018413982,0.030219668853792,0.428100237864117,0.0299395433101972,0.0220244391811981,0.029876685967382
"monthly","2013-4-","dba",32,815,0.433598620635947,0.0301224018813481,0.434837406344924,0.0298987205338912,0.0217353646043404,0.0298414329619226
"monthly","2013-4-","dba",33,815,0.439893655138364,0.0300507405479642,0.44138517089646,0.0298794150077798,0.0216111807602126,0.0298269355122624
"monthly","2013-4-","dba",34,815,0.446104884746178,0.0299972314288331,0.447852987751336,0.0298724758127373,0.0213794363108182,0.0298230471897782
